date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
22-06-16,86,68,77,0,0,0
23-06-16,83,69,76,0,0,0
24-06-16,84,67,75.5,0,0,0
25-06-16,86,64,75,0,0,0
26-06-16,87,67,77,0,0,0
27-06-16,83,67,75,0.45,0,0
28-06-16,76,68,72,0.12,0,0
29-06-16,83,67,75,0.01,0,0
30-06-16,85,67,76,0,0,0
01-07-16,79,66,72.5,0.83,0,0
02-07-16,76,63,69.5,0,0,0
03-07-16,78,64,71,0,0,0
04-07-16,84,66,75,0.49,0,0
05-07-16,86,69,77.5,0.66,0,0
06-07-16,91,75,83,0,0,0
07-07-16,89,77,83,0.04,0,0
08-07-16,86,67,76.5,0.08,0,0
09-07-16,72,65,68.5,0.53,0,0
10-07-16,80,66,73,T,0,0
11-07-16,81,65,73,0,0,0
12-07-16,82,68,75,0,0,0
13-07-16,85,71,78,0,0,0
14-07-16,88,73,80.5,0.62,0,0
15-07-16,88,79,83.5,0,0,0
16-07-16,90,75,82.5,T,0,0
17-07-16,89,75,82,0,0,0
18-07-16,93,72,82.5,0.35,0,0
19-07-16,83,73,78,0,0,0
20-07-16,85,68,76.5,0,0,0
21-07-16,90,71,80.5,0,0,0
22-07-16,94,74,84,0,0,0
23-07-16,96,80,88,0,0,0
24-07-16,94,75,84.5,0,0,0
25-07-16,93,73,83,1,0,0
26-07-16,89,72,80.5,0,0,0
27-07-16,91,74,82.5,0,0,0
28-07-16,95,75,85,T,0,0
29-07-16,85,69,77,1.09,0,0
30-07-16,84,73,78.5,0.25,0,0
31-07-16,78,71,74.5,1.08,0,0
01-08-16,80,69,74.5,T,0,0
02-08-16,79,68,73.5,0,0,0
03-08-16,80,66,73,0,0,0
04-08-16,81,67,74,0,0,0
05-08-16,83,69,76,0,0,0
06-08-16,87,72,79.5,0.05,0,0
07-08-16,86,70,78,0,0,0
08-08-16,86,71,78.5,0,0,0
09-08-16,87,71,79,0,0,0
10-08-16,86,75,80.5,0.09,0,0
11-08-16,91,74,82.5,0.15,0,0
12-08-16,93,73,83,0.32,0,0
13-08-16,96,81,88.5,0,0,0
14-08-16,94,78,86,0.06,0,0
15-08-16,92,77,84.5,0,0,0
16-08-16,87,78,82.5,0.11,0,0
17-08-16,85,77,81,0.01,0,0
18-08-16,85,72,78.5,0.03,0,0
19-08-16,88,74,81,0.01,0,0
20-08-16,83,70,76.5,0.82,0,0
21-08-16,86,73,79.5,0.31,0,0
22-08-16,79,65,72,0,0,0
23-08-16,82,61,71.5,0,0,0
24-08-16,88,68,78,0,0,0
25-08-16,86,69,77.5,0.01,0,0
26-08-16,90,75,82.5,0,0,0
27-08-16,89,73,81,0,0,0
28-08-16,89,72,80.5,0,0,0
29-08-16,91,74,82.5,0,0,0
30-08-16,86,69,77.5,0,0,0
31-08-16,89,74,81.5,T,0,0
01-09-16,79,69,74,0.5,0,0
02-09-16,81,66,73.5,0,0,0
03-09-16,75,66,70.5,0,0,0
04-09-16,80,65,72.5,0,0,0
05-09-16,84,65,74.5,0,0,0
06-09-16,80,71,75.5,T,0,0
07-09-16,85,71,78,0,0,0
08-09-16,89,71,80,0,0,0
09-09-16,91,75,83,0.22,0,0
10-09-16,90,74,82,T,0,0
11-09-16,83,67,75,0,0,0
12-09-16,78,62,70,0,0,0
13-09-16,83,64,73.5,0,0,0
14-09-16,91,67,79,0.56,0,0
15-09-16,74,61,67.5,0,0,0
16-09-16,73,61,67,0,0,0
17-09-16,77,59,68,0,0,0
18-09-16,82,70,76,0,0,0
19-09-16,76,69,72.5,0.68,0,0
20-09-16,82,68,75,0,0,0
21-09-16,84,68,76,0,0,0
22-09-16,86,65,75.5,0,0,0
23-09-16,87,64,75.5,0.01,0,0
24-09-16,71,58,64.5,0.2,0,0
25-09-16,70,54,62,0,0,0
26-09-16,74,54,64,0,0,0
27-09-16,74,64,69,0.22,0,0
28-09-16,69,56,62.5,0,0,0
29-09-16,64,57,60.5,0,0,0
30-09-16,59,56,57.5,0.4,0,0
01-10-16,62,56,59,0,0,0
02-10-16,63,57,60,0,0,0
03-10-16,72,60,66,0,0,0
04-10-16,69,60,64.5,0,0,0
05-10-16,67,53,60,0,0,0
06-10-16,73,55,64,0,0,0
07-10-16,75,57,66,0,0,0
08-10-16,68,58,63,0.23,0,0
09-10-16,65,51,58,0.55,0,0
10-10-16,64,47,55.5,0,0,0
11-10-16,63,46,54.5,0,0,0
12-10-16,66,53,59.5,0,0,0
13-10-16,67,53,60,T,0,0
14-10-16,62,47,54.5,0,0,0
15-10-16,65,45,55,0,0,0
16-10-16,69,53,61,0,0,0
17-10-16,81,63,72,0,0,0
18-10-16,81,67,74,0,0,0
19-10-16,85,65,75,0,0,0
20-10-16,70,62,66,0,0,0
21-10-16,69,57,63,1.11,0,0
22-10-16,57,47,52,0.29,0,0
23-10-16,61,45,53,0,0,0
24-10-16,62,47,54.5,T,0,0
25-10-16,52,43,47.5,0,0,0
26-10-16,51,38,44.5,0,0,0
27-10-16,55,40,47.5,1.41,0,0
28-10-16,51,42,46.5,0,0,0
29-10-16,64,39,51.5,0,0,0
30-10-16,76,54,65,0.56,0,0
31-10-16,54,44,49,0,0,0
01-11-16,58,40,49,0,0,0
02-11-16,70,54,62,0,0,0
03-11-16,72,57,64.5,0,0,0
04-11-16,61,47,54,0,0,0
05-11-16,62,44,53,0,0,0
06-11-16,59,45,52,0,0,0
07-11-16,53,41,47,0,0,0
08-11-16,66,41,53.5,0,0,0
09-11-16,59,49,54,0.06,0,0
10-11-16,56,40,48,0,0,0
11-11-16,63,41,52,0,0,0
12-11-16,50,37,43.5,0,0,0
13-11-16,61,41,51,0,0,0
14-11-16,62,46,54,0,0,0
15-11-16,56,47,51.5,1.81,0,0
