x1,x2,x3,x4,x5,x6,x7,x8,x9,label
20,-9,-31,28,0,-46,25,12,-61,NROI
33,11,0,42,-4,-24,54,-19,-18,NROI
29,18,103,14,-6,-17,-1,0,-17,NROI
18,103,108,-6,-17,17,0,-17,-16,NROI
77,82,91,-43,-9,92,-43,-42,0,NROI
14,23,1,-77,24,0,-110,-68,-1,NROI
24,2,-10,25,1,-17,-67,0,-16,NROI
2,-10,-12,1,-17,39,0,-16,77,NROI
2,0,0,-5,51,0,-4,89,14,NROI
-3,-3,0,48,-3,0,86,11,3,NROI
-3,0,-4,-3,0,-3,11,3,95,NROI
0,-4,-101,0,-3,94,3,95,93,NROI
-97,-194,-2,-96,1,1,2,0,1,NROI
-194,-2,2,1,1,-1,0,1,-47,NROI
-1,3,4,2,0,-55,2,-46,-111,NROI
49,50,-74,46,-9,-38,0,-65,8,NROI
59,-65,-3,0,-29,5,-56,17,6,NROI
-34,0,-68,12,1,-66,10,1,-67,NROI
17,-51,0,18,-49,3,18,-50,0,NROI
-51,0,26,-49,3,26,-50,0,26,NROI
-18,8,1,-15,8,0,-18,8,-1,NROI
8,1,-12,8,0,-13,8,-1,-14,NROI
14,1,-7,13,0,-21,12,-1,-7,NROI
2,-6,5,1,-20,0,0,-6,-1,NROI
0,11,2,-14,6,-2,0,5,-11,NROI
13,4,-2,8,0,-16,7,-9,-16,NROI
20,14,-1,16,0,-4,7,0,-48,NROI
18,3,-25,4,0,-13,4,-44,-53,NROI
47,19,-27,44,31,-42,0,-9,-28,NROI
47,1,-19,59,-14,-13,19,0,-2,NROI
15,-5,-16,0,1,-16,14,12,-6,NROI
0,-11,23,6,-11,-10,17,-1,1,NROI
-10,24,125,-10,-9,33,0,2,-4,NROI
-9,92,68,-42,0,67,-31,-37,58,NROI
41,17,-1,-51,16,0,-88,7,-7,NROI
1,-17,39,0,-16,77,-9,-23,60,NROI
-5,51,0,-4,89,14,-11,72,-65,NROI
45,-6,-3,83,8,0,66,-71,-99,NROI
-3,0,-3,11,3,95,-68,-96,90,NROI
-90,-93,4,-87,5,3,-186,0,3,NROI
-96,1,1,2,0,1,-3,0,-14,NROI
1,1,-1,0,1,-47,0,-14,-97,NROI
48,46,-9,48,0,-65,33,-50,-68,NROI
55,0,-29,9,-56,17,-41,-59,15,NROI
-5,-34,0,-61,12,1,-64,10,1,NROI
11,0,-67,9,0,-68,2,-10,-73,NROI
18,-49,3,18,-50,0,8,-55,-4,NROI
-49,3,26,-50,0,26,-55,-4,21,NROI
-14,9,1,-17,9,0,-21,4,-3,NROI
9,1,-12,9,0,-13,4,-3,-23,NROI
14,1,-20,13,0,-6,10,-10,-7,NROI
2,-19,1,1,-5,0,-9,-6,5,NROI
-14,6,-2,0,5,-11,-1,10,2,NROI
8,0,-16,7,-9,-16,12,4,-32,NROI
16,0,-4,7,0,-48,20,-16,-33,NROI
17,13,0,17,-31,-40,1,-16,-26,NROI
41,28,-45,-3,-12,-31,12,2,0,NROI
42,-31,-30,2,-17,-19,16,14,0,NROI
-12,-11,-28,2,0,-18,33,19,20,NROI
0,-17,-16,11,-7,-5,30,31,30,NROI
-12,-11,31,-2,0,-6,36,35,24,NROI
-35,7,74,-24,-30,65,11,0,-3,NROI
0,67,51,-37,58,44,-7,-10,-34,NROI
16,0,93,7,-7,76,-61,-85,-95,NROI
7,100,25,0,83,-54,-78,-88,-76,NROI
154,79,71,137,0,-28,-34,-22,-34,NROI
8,0,92,-71,-99,87,-93,-105,86,NROI
-86,6,4,-185,1,4,-191,0,-4,NROI
5,3,4,0,3,-11,-1,-5,-101,NROI
14,15,-33,14,0,-83,6,-90,-102,NROI
105,57,-8,90,7,-11,0,-12,-10,NROI
50,-15,58,0,-18,56,-19,-17,49,NROI
-62,11,0,-65,9,0,-64,2,-10,NROI
17,8,-60,10,-2,-65,12,0,-71,NROI
22,-46,4,12,-51,0,14,-57,-4,NROI
-46,4,30,-51,0,25,-57,-4,25,NROI
-14,12,3,-18,7,0,-22,7,0,NROI
12,3,-10,7,0,-20,7,0,-9,NROI
13,0,-6,10,-10,-7,10,1,-44,NROI
1,-5,0,-9,-6,5,2,-43,6,NROI
0,5,-11,-1,10,2,-38,11,-19,NROI
16,0,-7,21,13,-23,22,-8,-17,NROI
17,10,-38,30,-6,-23,9,0,-14,NROI
30,-18,-27,14,-3,-13,20,6,0,NROI
-5,-14,-33,10,0,-2,19,13,9,NROI
-12,-31,-33,2,0,-14,15,11,15,NROI
-18,-20,-38,13,-1,0,24,28,14,NROI
-19,-37,-35,0,1,0,29,15,18,NROI
-36,-34,-40,2,1,-10,16,19,0,NROI
-24,-30,65,11,0,-3,29,10,-28,NROI
-27,68,54,3,0,-24,13,-25,-2,NROI
70,56,139,2,-22,-32,-23,0,-17,NROI
56,139,2,-22,-32,-20,0,-17,38,NROI
156,19,-9,-15,-3,-15,0,55,64,NROI
-36,-64,122,-58,-70,121,0,9,124,NROI
-181,5,8,-187,4,0,-108,7,-56,NROI
5,8,-6,4,0,-96,7,-56,-107,NROI
97,83,0,89,-7,-19,33,-18,-19,NROI
101,18,0,11,-1,1,0,-1,-1,NROI
17,-1,73,-2,0,66,-2,-2,68,NROI
-57,17,8,-56,10,-2,-58,12,0,NROI
12,0,-63,14,2,-69,10,-6,-68,NROI
16,-47,4,18,-53,0,10,-52,-3,NROI
-47,4,29,-53,0,29,-52,-3,29,NROI
-18,7,0,-22,7,0,-25,7,0,NROI
7,0,-20,7,0,-9,7,0,-13,NROI
13,-7,-4,13,4,-41,13,0,-65,NROI
-5,-2,9,6,-39,10,2,-63,0,NROI
0,11,3,-37,12,-18,-61,2,-21,NROI
29,21,-15,30,0,-9,20,-3,-1,NROI
24,-12,-29,3,-6,-20,0,2,6,NROI
0,-17,-27,6,-8,-14,14,18,60,NROI
-3,-13,-15,6,0,-4,32,74,43,NROI
-13,-15,-29,0,-4,0,74,43,84,NROI
-11,-25,-24,0,4,-10,47,88,118,NROI
-15,-14,-15,14,0,3,98,128,-3,NROI
0,-1,-12,14,17,-2,142,11,-20,NROI
11,0,-3,29,10,-28,23,-8,-13,NROI
8,5,-19,18,-20,3,0,-5,-10,NROI
15,-9,-19,-10,13,-4,5,0,94,NROI
-9,-19,-7,13,-4,51,0,94,93,NROI
-70,-58,-70,-55,0,9,43,42,115,NROI
-100,-112,79,-42,-33,82,0,73,71,NROI
-183,8,4,-104,11,-52,2,0,-88,NROI
60,56,-40,63,0,-51,52,-36,-54,NROI
107,11,-1,51,0,-1,15,-3,0,NROI
11,-1,1,0,-1,-1,-3,0,3,NROI
-2,0,66,-2,-2,68,-1,2,64,NROI
-54,12,0,-56,14,2,-52,10,-6,NROI
16,4,-67,12,-4,-66,6,0,-68,NROI
21,-50,3,13,-49,0,17,-51,-1,NROI
-50,3,32,-49,0,32,-51,-1,32,NROI
-22,7,0,-25,7,0,-26,7,1,NROI
7,0,-9,7,0,-13,7,1,-15,NROI
13,4,-41,13,0,-65,14,-2,-91,NROI
6,-39,10,2,-63,0,0,-89,-17,NROI
-19,30,0,-43,20,-3,-69,3,12,NROI
27,-3,-12,17,-6,-4,0,9,1,NROI
0,-9,-23,-3,-1,3,12,4,77,NROI
-12,-26,-32,-4,0,42,1,74,90,NROI
-37,-43,-47,-11,31,0,63,79,59,NROI
-74,-78,-74,0,-31,10,48,28,28,NROI
-47,-43,-57,0,41,71,59,59,-89,NROI
11,-3,0,95,125,-6,113,-35,-16,NROI
13,16,-3,141,10,-21,-19,0,-2,NROI
18,-1,-39,12,-19,-24,2,0,65,NROI
15,-23,0,-3,-8,-13,16,81,94,NROI
-23,0,-17,-8,-13,81,81,94,34,NROI
-38,-55,0,-51,43,42,56,-4,128,NROI
-97,-42,-33,1,0,73,-46,86,80,NROI
-113,-104,11,-71,2,0,15,9,-40,NROI
-64,51,-12,42,40,-48,49,0,-69,NROI
99,36,-15,88,0,-18,48,-21,-20,NROI
52,1,0,16,-2,1,-5,-4,0,NROI
1,0,0,-2,1,4,-4,0,3,NROI
-3,-3,67,-2,1,63,-3,0,57,NROI
-54,16,4,-50,12,-4,-51,6,0,NROI
12,-4,-66,6,0,-68,6,4,-70,NROI
