x1,x2,x3,x4,x5,x6,x7,x8,x9,label
31,-25,0,33,-13,2,17,-17,-15,NROI
-8,17,-41,4,19,-18,0,2,-2,NROI
15,-43,-55,17,-20,44,0,-4,36,NROI
-73,-85,6,-50,14,11,-34,6,0,NROI
-91,0,-9,8,5,2,0,-6,8,NROI
3,-6,-23,8,5,0,-3,11,-1,NROI
0,-17,-50,11,6,-30,17,5,-31,NROI
14,-19,-37,37,1,-34,36,0,-18,NROI
0,-18,9,20,-15,-39,19,1,-24,NROI
6,33,-25,9,-15,-13,25,0,-23,NROI
46,-12,37,-2,0,85,13,-10,-39,NROI
-49,0,71,-37,48,52,-47,-76,49,NROI
-36,35,0,12,16,0,-112,13,-1,NROI
35,0,-4,16,0,-1,13,-1,-12,NROI
4,0,-80,4,3,-78,3,-8,-39,NROI
39,-41,-39,42,-39,-37,31,0,8,NROI
-4,-2,0,-2,0,4,37,45,27,NROI
-6,-4,0,-4,0,7,41,23,-1,NROI
-3,1,-102,1,8,-104,24,0,-86,NROI
87,-16,-16,94,-18,-17,86,0,55,NROI
-2,-2,0,-4,-3,15,14,69,175,NROI
-71,-69,117,-72,-54,125,0,106,124,NROI
-168,18,-7,-153,26,-21,7,25,0,NROI
47,0,-72,46,21,-68,-27,20,-68,NROI
38,-34,0,59,-30,0,58,-30,-12,NROI
-34,0,56,-30,0,77,-30,-12,94,NROI
-77,-21,26,-77,0,10,-89,17,7,NROI
-28,19,-27,-7,3,-31,10,0,7,NROI
19,-27,-12,3,-31,-29,0,7,4,NROI
2,17,-20,-2,0,-4,36,33,-20,NROI
17,-20,44,0,-4,36,33,-20,-12,NROI
-46,18,15,-30,10,4,-46,-38,0,NROI
7,4,1,-1,-7,7,-49,-11,0,NROI
8,5,0,-3,11,-1,-7,4,-12,NROI
6,1,-35,12,0,-36,5,-11,-36,NROI
37,1,-34,36,0,-18,25,0,-31,NROI
32,-3,-27,31,13,-12,31,0,-11,NROI
9,-15,-13,25,0,-23,12,1,-32,NROI
0,2,87,15,-8,-37,16,-17,-38,NROI
10,95,99,0,-29,96,-9,-30,-52,NROI
13,17,1,-111,14,0,-112,-134,-10,NROI
17,1,0,14,0,-11,-134,-10,-37,NROI
12,11,-70,11,0,-31,1,-26,-59,NROI
42,-39,-37,31,0,8,5,-28,-23,NROI
-16,-14,-10,23,31,13,-5,0,15,NROI
-11,-7,0,34,16,-8,3,18,-49,NROI
1,8,-104,24,0,-86,26,-41,-57,NROI
49,-63,-62,41,-45,10,0,-16,95,NROI
-47,-46,-28,-29,26,132,0,111,108,NROI
-154,-136,43,-82,24,42,3,0,-31,NROI
-152,27,-20,8,26,1,-16,-47,0,NROI
49,24,-65,-24,23,-65,42,0,-71,NROI
70,-19,11,69,-19,-1,46,-25,0,NROI
-19,11,88,-19,-1,105,-25,0,111,NROI
-84,-7,3,-96,10,0,-95,16,20,NROI
-14,-4,-38,3,-7,0,9,13,5,NROI
-1,-35,-33,-4,3,0,16,8,8,NROI
-22,-20,-24,16,13,-40,21,21,0,NROI
-16,-20,20,17,-36,-28,25,4,0,NROI
-21,19,13,-37,-29,9,3,-1,0,NROI
6,0,14,-42,-4,7,-14,-13,3,NROI
0,14,2,-4,7,-9,-13,3,-32,NROI
23,11,-25,16,0,-25,12,-23,-33,NROI
36,0,-18,25,0,-31,2,-8,-33,NROI
31,13,-12,31,0,-11,23,-2,-13,NROI
25,0,-23,12,1,-32,10,-1,-20,NROI
23,0,-29,24,-9,-30,22,3,-22,NROI
22,-7,118,13,-8,-30,25,0,-32,NROI
0,125,111,-1,-23,101,7,-25,-38,NROI
51,37,26,-97,27,0,-99,-112,-27,NROI
42,31,0,32,5,-28,-107,-22,-31,NROI
53,22,30,27,-6,-1,0,-9,-2,NROI
23,31,13,-5,0,15,-8,-1,-13,NROI
32,14,-10,1,16,-51,0,-12,-103,NROI
26,2,-84,28,-39,-55,0,-91,28,NROI
31,-55,0,-10,-26,85,-62,57,75,NROI
-130,-75,31,-101,10,7,-18,0,13,NROI
-85,21,39,0,-3,-34,-10,3,32,NROI
8,26,1,-16,-47,0,-10,19,-23,NROI
-6,41,-47,60,18,-53,71,0,-50,NROI
69,-19,-1,46,-25,0,28,-22,6,NROI
-19,-1,105,-25,0,111,-22,6,114,NROI
-106,0,-10,-105,6,10,-99,9,6,NROI
-6,-16,-9,0,4,-4,3,0,2,NROI
-12,-5,-8,8,0,0,4,6,-4,NROI
0,-3,-56,5,5,-16,11,1,-24,NROI
14,-39,-31,22,1,-3,18,-7,0,NROI
-37,-29,9,3,-1,0,-5,2,14,NROI
-38,0,11,-10,-9,7,-7,5,4,NROI
0,11,-5,-9,7,-28,5,4,-37,NROI
39,23,-2,35,0,-10,32,-9,-24,NROI
33,8,-23,10,0,-25,1,-14,-27,NROI
33,2,-9,25,0,-11,11,-2,-6,NROI
11,0,-33,9,-2,-21,7,3,-13,NROI
21,-12,-33,19,0,-25,24,8,-13,NROI
13,-8,-30,25,0,-32,33,12,-23,NROI
15,-7,117,23,-9,-22,35,0,-21,NROI
-7,117,90,-9,-22,63,0,-21,55,NROI
62,35,2,-77,8,-1,-76,0,-1,NROI
30,-3,2,3,-6,1,-5,-6,0,NROI
0,5,20,-3,4,-8,-3,3,-16,NROI
13,28,-39,12,0,-91,11,-8,-89,NROI
36,-31,-47,8,-83,36,0,-81,52,NROI
-67,-83,28,-119,0,18,-117,16,37,NROI
-108,3,0,-25,-7,6,-9,12,14,NROI
-3,-6,-37,-13,0,29,6,8,40,NROI
-6,-37,10,0,29,-13,8,40,-31,NROI
60,18,-53,71,0,-50,71,-32,-47,NROI
46,-25,0,28,-22,6,-4,-19,2,NROI
-27,-2,109,-24,4,112,-21,0,100,NROI
-111,0,4,-105,3,0,-109,-9,3,NROI
0,4,-4,3,0,2,-9,3,-4,NROI
8,0,0,4,6,-4,7,0,-4,NROI
4,4,-17,10,0,-25,4,0,-52,NROI
21,0,-4,17,-8,-1,17,-35,22,NROI
1,-3,-2,-7,0,12,-34,23,29,NROI
-14,-13,3,-11,1,0,12,18,-24,NROI
-9,7,-28,5,4,-37,22,-20,0,NROI
35,0,-10,32,-9,-24,8,28,-32,NROI
24,14,-11,15,0,-13,52,-8,-18,NROI
27,2,-9,13,0,-4,5,-5,-4,NROI
7,-4,-23,5,1,-15,0,1,-7,NROI
11,-8,-33,16,0,-21,16,8,-12,NROI
13,-12,-44,21,0,-35,29,9,-21,NROI
23,-9,-22,35,0,-21,44,14,-19,NROI
-9,-22,63,0,-21,55,14,-19,91,NROI
-76,9,0,-75,1,0,-73,37,66,NROI
2,-7,0,-6,-7,-1,30,59,73,NROI
0,7,-5,0,6,-13,66,80,-41,NROI
15,3,-88,14,-5,-86,88,-33,0,NROI
3,-88,31,-5,-86,47,-33,0,73,NROI
-135,-16,2,-133,0,21,-47,26,28,NROI
-37,-19,-6,-21,0,2,5,7,12,NROI
-26,-13,16,-7,-5,27,0,5,27,NROI
-8,21,-21,0,32,-39,10,32,-71,NROI
103,32,-18,103,0,-15,66,-15,-18,NROI
32,-18,10,0,-15,6,-15,-18,9,NROI
-27,1,109,-24,-3,97,-27,0,109,NROI
-96,12,9,-100,0,12,-97,12,0,NROI
3,0,2,-9,3,-4,3,-9,-11,NROI
8,10,0,11,4,0,-1,-3,-8,NROI
13,3,-22,7,3,-49,0,-5,-12,NROI
8,-17,-10,8,-44,13,0,-7,19,NROI
-19,-12,0,-46,11,17,-9,17,5,NROI
-12,0,-1,11,17,-25,17,5,-10,NROI
5,4,-37,22,-20,0,10,-5,-50,NROI
41,0,-15,17,37,-23,32,-13,-23,NROI
23,8,-5,60,0,-10,10,0,-9,NROI
17,4,0,9,-1,0,9,0,-5,NROI
5,1,-15,0,1,-7,1,-4,-5,NROI
8,-8,-29,8,0,-20,3,2,-12,NROI
12,-9,-44,20,0,-30,22,8,-15,NROI
21,-14,-35,30,0,-33,38,15,-20,NROI
0,-21,55,14,-19,91,29,-6,-16,NROI
-75,1,0,-73,37,66,-60,-70,47,NROI
-36,-37,-31,0,29,43,-107,10,9,NROI
-6,0,-19,60,74,-47,41,40,-3,NROI
3,-16,-97,77,-44,-11,43,0,62,NROI
-16,-97,36,-44,-11,62,0,62,58,NROI
-154,-21,0,-68,5,7,5,1,-8,NROI
-23,-2,0,3,5,10,-1,-10,20,NROI
-7,-5,27,0,5,27,-15,15,-10,NROI
0,32,-39,10,32,-71,20,-5,-86,NROI
118,15,0,81,0,-3,103,-35,-1,NROI
15,0,21,0,-3,24,-35,-1,50,NROI
-24,-3,97,-27,0,109,-25,26,96,NROI
-99,1,13,-96,13,1,-70,0,-2,NROI
0,12,5,12,0,-2,-1,-3,-10,NROI
14,7,3,2,0,-5,-1,-8,-6,NROI
13,9,-43,6,1,-6,-2,0,0,NROI
9,-43,14,1,-6,20,0,0,-17,NROI
-43,14,20,-6,20,8,0,-17,-29,NROI
21,27,-15,27,15,0,-10,-22,-40,NROI
42,0,20,30,15,-30,-7,-25,-33,NROI
30,50,-10,45,0,-10,5,-3,-10,NROI
60,0,-10,10,0,-9,7,0,-6,NROI
9,-1,0,9,0,-5,9,3,-5,NROI
4,5,-3,5,0,-1,8,0,-7,NROI
8,0,-20,3,2,-12,3,-4,-14,NROI
14,-6,-36,16,2,-21,10,0,-14,NROI
15,-15,-48,23,0,-35,21,7,-20,NROI
5,-28,82,20,-15,-25,27,0,-24,NROI
-28,82,111,-15,-25,92,0,-24,87,NROI
-5,24,38,-112,5,4,-111,0,-25,NROI
24,38,-83,5,4,-39,0,-25,-23,NROI
61,-60,-27,27,-16,46,-2,0,48,NROI
-101,-68,5,-57,5,1,-41,7,0,NROI
-73,0,2,0,-4,-13,2,-5,2,NROI
-2,0,5,-6,-15,15,-7,0,7,NROI
-5,0,22,-20,10,-15,-5,2,7,NROI
0,22,-81,10,-15,-96,2,7,-131,NROI
58,-23,-26,80,-58,-24,0,2,0,NROI
-23,-26,1,-58,-24,27,2,0,12,NROI
-38,-11,98,-36,15,85,-12,0,55,NROI
-66,43,31,-40,30,28,-55,0,-3,NROI
15,3,1,2,0,-7,-28,-31,-49,NROI
8,6,1,5,-2,0,-26,-44,-52,NROI
8,3,-4,0,2,2,-42,-50,-51,NROI
7,0,26,6,6,-11,-46,-47,-48,NROI
11,37,25,17,0,-12,-36,-37,-37,NROI
49,37,22,12,0,-18,-25,-25,-25,NROI
60,45,0,23,5,-3,-2,-2,-1,NROI
46,1,-9,6,-2,-9,-1,0,0,NROI
3,-7,-16,0,-7,-13,2,2,2,NROI
0,-9,-14,0,-6,-14,9,9,11,NROI
0,-5,-6,3,-5,-12,18,20,24,NROI
0,-1,-15,0,-7,-17,25,29,6,NROI
10,-4,-27,4,-6,-20,40,17,0,NROI
2,-21,-56,0,-14,-41,23,6,10,NROI
0,-35,-45,7,-20,-44,27,31,28,NROI
-48,-58,59,-33,-57,54,18,15,0,NROI
-73,44,43,-72,39,14,0,-15,-42,NROI
28,27,-16,23,-2,0,-31,-58,25,NROI
2,-41,21,-27,-25,23,-83,0,0,NROI
-41,21,17,-25,23,16,0,0,-3,NROI
5,1,-8,7,0,7,-16,-19,-16,NROI
1,-8,22,0,7,14,-19,-16,-114,NROI
-5,25,0,10,17,22,-13,-111,-58,NROI
81,56,-25,73,78,-60,-55,-2,0,NROI
80,-58,-24,0,2,0,-1,0,-11,NROI
-58,-24,27,2,0,12,0,-11,40,NROI
-51,0,70,-27,-15,40,-38,13,34,NROI
-34,36,34,-49,6,3,-21,0,-5,NROI
33,31,24,3,0,-18,-3,-8,-22,NROI
39,32,34,8,-10,-18,0,-14,-23,NROI
46,48,48,4,-4,-5,0,-9,-10,NROI
53,53,36,1,0,-1,-4,-5,-7,NROI
54,37,25,1,0,0,-4,-6,-6,NROI
37,25,7,0,0,0,-6,-6,-4,NROI
25,7,-1,0,0,1,-6,-4,-3,NROI
8,0,-7,1,2,2,-3,-2,-3,NROI
2,-5,-11,4,4,4,0,-1,-1,NROI
-4,-10,-18,5,5,7,0,0,3,NROI
-13,-21,-28,2,4,8,-3,0,4,NROI
-21,-28,-38,4,8,-15,0,4,12,NROI
0,-10,-24,36,13,-4,32,40,-5,NROI
-5,-19,-46,18,1,5,45,0,0,NROI
-19,-46,-70,1,5,2,0,0,-2,NROI
-44,-68,43,7,4,-11,2,0,-1,NROI
-67,44,19,5,-10,-37,1,0,-75,NROI
25,0,2,-29,-56,27,-19,-94,22,NROI
-22,-20,28,-78,5,5,-116,0,2,NROI
-22,26,19,3,3,0,-2,0,0,NROI
23,16,23,0,-3,0,-3,-3,-3,NROI
16,23,30,-3,0,-98,-3,-3,0,NROI
23,30,35,0,-98,-45,-3,0,-46,NROI
75,80,-58,-53,0,2,45,-1,0,NROI
